,XGCSWGS84,YGCSWGS84,UKATEGORIE
88751,11.617399220000038,48.11459533800007,3
88768,11.593962224000052,48.17552660900003,3
88797,11.556920330000024,48.11235327500003,3
88800,11.522410102000038,48.12658995100002,3
88845,11.536301405000074,48.14818689700007,3
88934,11.58424824900004,48.188735689000055,3
88994,11.584598576000076,48.18437429000005,3
88996,11.443558392000057,48.14557517600008,3
88998,11.655281195000043,48.093628427000056,3
89046,11.617371493000064,48.11480640500008,3
89079,11.530061795000051,48.21179688700005,3
89105,11.530340473000024,48.08214344700008,3
89115,11.62847133200006,48.20249475900005,3
89138,11.599541717000022,48.17019778600008,3
89169,11.617864925000047,48.19849508900006,3
89231,11.45609197600004,48.150650859000045,3
89287,11.586274504000071,48.20536181800002,3
89310,11.485970313000053,48.08673647200004,3
89316,11.711426472000028,48.11106676900005,2
89373,11.614930776000053,48.135586887000045,2
89387,11.489278494000075,48.095987293000064,3
89388,11.605871561000072,48.15653146900007,3
89404,11.49587918100002,48.12502052600007,3
89448,11.606335995000052,48.18166399200004,3
89503,11.498964218000026,48.12566212400003,3
89555,11.584641447000024,48.18379982500005,3
89568,11.56758805900006,48.227020055000025,3
89571,11.501925668000068,48.21433978600004,3
89578,11.44434751600005,48.14569056400006,3
89581,11.585260129000062,48.09940856600008,3
89582,11.487480146000053,48.08593279500008,3
89585,11.55963844200005,48.112522184000056,3
89588,11.530885917000036,48.21937933600003,3
89590,11.537932347000035,48.18678432300004,2
89591,11.394611817000056,48.146178771000045,2
89594,11.40021273800005,48.13927960700005,3
89595,11.576003571000058,48.111629677000046,3
89598,11.60400628000002,48.17963890200008,2
89602,11.641399620000072,48.21393142300008,3
89605,11.559776127000076,48.11254002300007,3
89666,11.617557713000052,48.12673069300007,3
89697,11.63038378300007,48.12830218600004,3
89752,11.534591505000035,48.14272138900003,2
89765,11.47739666800004,48.145242601000064,2
89768,11.622853250000048,48.12971007200008,3
89772,11.595066814000065,48.17452421500008,3
89776,11.58496797600003,48.18173608700005,3
89877,11.599864678000074,48.17201296700006,2
89936,11.517542633000062,48.14149794400004,3
90080,11.518507897000063,48.121256499000026,3
90095,11.61226939200003,48.11034719700008,3
90208,11.638711904000049,48.21598291500004,3
90217,11.617031515000065,48.11401871800008,3
90279,11.619057056000033,48.11846558900004,3
90284,11.496990021000045,48.11212377100002,3
90285,11.489756408000062,48.11324013000007,3
90298,11.624155428000051,48.138203627000046,3
90336,11.397379492000027,48.137987426000045,3
90340,11.394353976000048,48.14387565800007,3
90378,11.509870628000044,48.12513646800005,3
90489,11.398116952000066,48.13865016200003,3
90515,11.520738652000034,48.12448928100008,3
90576,11.479586564000044,48.12416207500007,3
