OBJECTID,XGCSWGS84,YGCSWGS84,UKATEGORIE
103518,11.5078349950001,48.112574554,3
103523,11.4529170370001,48.204522674,3
103535,11.5159809640001,48.090311366,3
103577,11.610596244,48.185802247,3
103590,11.5412308430001,48.1008205140001,3
103605,11.59846055,48.161900506000094,3
103637,11.6447325300001,48.126028304,3
103644,11.6262483630001,48.222515635,3
103729,11.4949898580001,48.143882695000094,3
103736,11.4944160520001,48.21059567,3
103826,11.7012830460001,48.113108054000094,3
103838,11.665045085,48.1213366490001,3
103850,11.5200095770001,48.123602797,3
103859,11.6466492700001,48.096371102,3
103862,11.607950121,48.1556953260001,3
103923,11.537893404,48.16460215000009,3
103925,11.623757595,48.138147514000096,3
103926,11.573818358,48.1119603880001,3
103972,11.596356933,48.17959020600009,3
103977,11.604006391,48.108542137,3
104054,11.6217139180001,48.137243726000094,3
104059,11.4724989160001,48.2097186500001,3
104065,11.6227541430001,48.1856767620001,3
104074,11.5036408560001,48.1429032,3
104096,11.5228035060001,48.109905559,3
104107,11.634674879,48.218358119000094,3
104151,11.6643287370001,48.1215663900001,3
104223,11.3956481970001,48.14133616,3
104235,11.536880769,48.151516999000094,3
104281,11.608097135,48.183340761000096,3
104284,11.6166207950001,48.13295750300009,3
104306,11.5359246570001,48.186858133,3
104329,11.5534572340001,48.183634793000095,3
104359,11.541220417,48.1008651430001,3
104410,11.4794297890001,48.088630567000095,3
104418,11.499440749,48.112191474,3
104451,11.595156022,48.174569754000096,3
104467,11.507474326,48.125300978,3
104472,11.6306389960001,48.12823505600009,3
104473,11.5601288730001,48.112677289,3
104477,11.488529751,48.086047710000095,3
104484,11.469795559,48.209706807,3
104494,11.5468487380001,48.176292752000094,3
104576,11.5842496080001,48.1959248370001,3
104584,11.453384482,48.147136158000094,3
104647,11.618823225,48.117967818000096,3
104669,11.5773238260001,48.1111654590001,3
104732,11.4485068340001,48.1462625,3
104740,11.484688455,48.212550399000094,3
104856,11.574380326,48.10877941500009,3
104858,11.5699483940001,48.111321769,3
104860,11.6176992200001,48.130604055,3
104873,11.502079704,48.193000846000096,3
104918,11.566080481,48.113196727000094,3
104922,11.6231029090001,48.1049456640001,3
104942,11.6836948920001,48.118369617,3
104971,11.4796656300001,48.088510811,3
104980,11.616160684,48.1341154840001,3
104982,11.5177469120001,48.119220515000094,3
105013,11.6245223600001,48.1294561390001,3
105036,11.529276915,48.109990338,3
105078,11.5359234630001,48.146846762000095,3
105095,11.474930596,48.210096349,3
105096,11.6768665600001,48.1193907300001,3
105155,11.5542638110001,48.182204143,3
105163,11.4802047630001,48.2167608400001,3
105288,11.461280189,48.18162683,3
105297,11.495907963,48.194148066,3
105303,11.653968299,48.094093119,3
105331,11.4558680600001,48.13945055,3
105367,11.5355117990001,48.145752417,3
105373,11.595416815,48.174345000000095,3
